Month,3rd,5th,10th,25th,50th,75th,90th,95th,97th,99th
0,31.7,31.9,32.4,33.1,33.9,34.7,35.4,35.8,36.1,36.6
1,34.3,34.6,35,35.8,36.5,37.3,38,38.5,38.8,39.3
2,36,36.3,36.7,37.4,38.3,39.1,39.8,40.2,40.5,41.1
3,37.2,37.5,37.9,38.7,39.5,40.4,41.1,41.6,41.9,42.4
4,38.2,38.5,39,39.7,40.6,41.4,42.2,42.7,43,43.5
5,39,39.3,39.8,40.6,41.5,42.3,43.1,43.6,43.9,44.5
6,39.7,40.1,40.5,41.3,42.2,43.1,43.9,44.3,44.6,45.2
7,40.4,40.7,41.1,41.9,42.8,43.7,44.5,45,45.3,45.9
8,40.9,41.2,41.7,42.5,43.4,44.3,45.1,45.6,45.9,46.5
9,41.3,41.6,42.1,42.9,43.8,44.7,45.5,46,46.3,46.9
10,41.7,42,42.5,43.3,44.2,45.1,46,46.4,46.8,47.4
11,42,42.4,42.9,43.7,44.6,45.5,46.3,46.8,47.1,47.7
12,42.3,42.7,43.2,44,44.9,45.8,46.6,47.1,47.5,48.1
13,42.6,42.9,43.4,44.3,45.2,46.1,46.9,47.4,47.7,48.3
14,42.9,43.2,43.7,44.5,45.4,46.3,47.2,47.7,48,48.6
15,43.1,43.4,43.9,44.7,45.7,46.6,47.4,47.9,48.2,48.8
16,43.3,43.6,44.1,44.9,45.9,46.8,47.6,48.1,48.5,49.1
17,43.5,43.8,44.3,45.1,46.1,47,47.8,48.3,48.7,49.3
18,43.6,44,44.5,45.3,46.2,47.2,48,48.5,48.8,49.5
19,43.8,44.1,44.6,45.5,46.4,47.3,48.2,48.7,49,49.6
20,44,44.3,44.8,45.6,46.6,47.5,48.4,48.9,49.2,49.8
21,44.1,44.5,45,45.8,46.7,47.7,48.5,49,49.4,50
22,44.3,44.6,45.1,46,46.9,47.8,48.7,49.2,49.5,50.1
23,44.4,44.7,45.3,46.1,47,48,48.8,49.3,49.7,50.3
24,44.6,44.9,45.4,46.2,47.2,48.1,49,49.5,49.8,50.4
25,44.7,45,45.5,46.4,47.3,48.3,49.1,49.6,49.9,50.6
26,44.8,45.2,45.7,46.5,47.5,48.4,49.2,49.8,50.1,50.7
27,44.9,45.3,45.8,46.6,47.6,48.5,49.4,49.9,50.2,50.8
28,45.1,45.4,45.9,46.8,47.7,48.7,49.5,50,50.3,51
29,45.2,45.5,46,46.9,47.8,48.8,49.6,50.1,50.5,51.1
30,45.3,45.6,46.1,47,47.9,48.9,49.7,50.2,50.6,51.2
31,45.4,45.7,46.2,47.1,48,49,49.8,50.4,50.7,51.3
32,45.5,45.8,46.3,47.2,48.1,49.1,49.9,50.5,50.8,51.4
33,45.6,45.9,46.4,47.3,48.2,49.2,50,50.6,50.9,51.5
34,45.7,46,46.5,47.4,48.3,49.3,50.1,50.7,51,51.6
35,45.8,46.1,46.6,47.5,48.4,49.4,50.2,50.7,51.1,51.7
36,45.9,46.2,46.7,47.6,48.5,49.5,50.3,50.8,51.2,51.8
37,45.9,46.3,46.8,47.6,48.6,49.5,50.4,50.9,51.3,51.9
38,46,46.3,46.9,47.7,48.7,49.6,50.5,51,51.3,52
39,46.1,46.4,46.9,47.8,48.7,49.7,50.6,51.1,51.4,52
40,46.2,46.5,47,47.9,48.8,49.8,50.6,51.2,51.5,52.1
41,46.2,46.6,47.1,47.9,48.9,49.8,50.7,51.2,51.6,52.2
42,46.3,46.6,47.1,48,49,49.9,50.8,51.3,51.6,52.3
43,46.4,46.7,47.2,48.1,49,50,50.8,51.4,51.7,52.3
44,46.4,46.8,47.3,48.1,49.1,50.1,50.9,51.4,51.8,52.4
45,46.5,46.8,47.3,48.2,49.2,50.1,51,51.5,51.8,52.5
46,46.5,46.9,47.4,48.3,49.2,50.2,51,51.6,51.9,52.5
47,46.6,46.9,47.5,48.3,49.3,50.2,51.1,51.6,51.9,52.6
48,46.7,47,47.5,48.4,49.3,50.3,51.2,51.7,52,52.6
49,46.7,47.1,47.6,48.4,49.4,50.3,51.2,51.7,52.1,52.7
50,46.8,47.1,47.6,48.5,49.4,50.4,51.3,51.8,52.1,52.7
51,46.8,47.2,47.7,48.5,49.5,50.5,51.3,51.8,52.2,52.8
52,46.9,47.2,47.7,48.6,49.5,50.5,51.4,51.9,52.2,52.9
53,46.9,47.3,47.8,48.6,49.6,50.6,51.4,51.9,52.3,52.9
54,47,47.3,47.8,48.7,49.6,50.6,51.5,52,52.3,53
55,47,47.4,47.9,48.7,49.7,50.7,51.5,52,52.4,53
56,47.1,47.4,47.9,48.8,49.7,50.7,51.6,52.1,52.4,53.1
57,47.1,47.4,48,48.8,49.8,50.7,51.6,52.1,52.5,53.1
58,47.2,47.5,48,48.9,49.8,50.8,51.7,52.2,52.5,53.1
59,47.2,47.5,48.1,48.9,49.9,50.8,51.7,52.2,52.6,53.2
60,47.2,47.6,48.1,49,49.9,50.9,51.7,52.3,52.6,53.2
